,FAM_N,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas,DIRECCION,PADRE,MADRE,F,M,NINOS,MAYORES
257,58,0,0,0,1,1,3,3,18,1,1,,500,,LAS TERRAZAS,0,1,3,1,3,0
258,59,0,0,0,1,0,8,10,20,2,,3,850,3,LAS TERRAZAS,1,1,4,4,4,0
259,60,0,0,0,1,0,5,17,23,1,1,3,850,2,LAS TERRAZAS,1,1,1,4,3,0
260,61,0,0,0,1,0,6,17,20,1,1,,850,,LAS TERRAZAS,1,1,5,1,2,0
261,62,0,0,0,1,0,3,17,25,2,1,,850,2,LAS TERRAZAS,1,1,1,3,0,0
262,63,0,0,0,1,0,6,17,18,1,,,,3,LAS TERRAZAS,0,1,6,0,3,1
263,64,0,0,0,1,1,5,17,18,1,1,,500,,LAS TERRAZAS,1,1,4,1,2,0
264,65,0,0,0,1,1,6,3,18,1,1,,950,1,LAS TERRAZAS,1,1,3,3,4,0
265,658,0,1,0,1,0,5,6,22,1,1,3,700,2,CRUZ DE MAYO,1,1,3,1,2,0
266,,0,1,0,1,0,4,25,18,1,1.5,1,850,2,,,,,,,
267,660,1,0,0,0,1,4,18,19,1,1.5,1,900,2,CRUZ DE MAYO,1,1,2,3,3,0
268,661,0,0,0,1,0,6,20,30,1,1,0,900,3,CRUZ DE MAYO,1,1,4,2,3,0
269,673,0,1,0,1,0,6,10,21,1,1,1,750,1,NUEVA GENERACION,1,1,4,2,4,0
270,66,0,1,0,1,1,6,12,21,1,1,1,1000,,LOS INDUSTRIALES,1,1,1,5,4,0
271,67,0,1,0,1,1,4,18,20,1,0.5,3,400,1,LOS INDUSTRIALES,0,1,3,1,3,0
272,68,0,0,0,1,,4,10,27,1,1.5,4,600,2,LOS INDUSTRIALES,1,0,1,3,2,0
273,69,0,0,0,1,1,6,4,18,1,,3,800,1,LOS INDUSTRIALES,1,1,3,3,4,0
274,143,0,1,0,1,0,5,5,24,1,1.5,1,800,0,LOS PEDREGALES 2000,1,1,2,3,1,0
275,144,0,1,0,1,0,4,2,22,1,1,,900,1,LOS PEDREGALES 2000,1,1,1,3,1,0
276,145,0,1,0,1,0,9,18,19,2,2,3,930,3,LOS PEDREGALES 2000,1,1,4,5,4,0
277,146,0,1,0,0,0,5,18,20,1,1,4,400,0,LOS PEDREGALES 2000,0,1,2,3,2,1
278,147,0,1,0,1,0,5,11,24,1,1.5,0,900,5,LOS PEDREGALES 2000,1,1,3,2,2,1
279,770,0,1,0,0,0,5,4,15,1,3,,500,,VIRGEN DEL CARMEN,1,1,3,2,3,0
280,777,0,1,0,1,0,4,6,18,1,,,400,,VIRGEN DEL CARMEN,0,1,2,2,2,0
281,779,0,1,0,1,0,3,6,18,1,2,,300,,VIRGEN DEL CARMEN,0,1,2,1,2,0
282,778,0,1,0,0,1,4,5,15,1,,,,,LAS PRADERAS,0,1,1,3,3,0
283,765,0,1,0,1,0,3,,22,,,,,,LAS PRADERAS,0,1,4,2,3,0
284,766,0,1,0,1,0,2,,,,,,,,LAS PRADERAS,1,1,1,1,0,0
285,767,0,1,0,1,0,4,6,15,1,2,,400,,LAS PRADERAS,0,1,4,0,2,0
286,768,0,1,0,1,0,5,7,17,1,1,,400,,LAS PRADERAS,0,1,3,2,3,0
287,769,0,1,0,1,0,5,6,16,1,2,3,500,,LAS PRADERAS,0,1,3,2,4,0
288,80,0,1,0,1,,1,18,18,1,0.5,,300,1,PORTADA DEL SOL,0,1,1,0,0,0
289,81,0,0,0,1,0,6,18,,2,0.75,3,800,,PORTADA DEL SOL,1,1,2,2,2,0
290,82,1,1,0,,1,5,18,,1,0.75,1,520,2,PORTADA DEL SOL,0,1,3,2,3,0
291,83,0,1,0,1,0,3,18,20,1,2,4,680,3,PORTADA DEL SOL,0,1,3,0,1,1
292,84,0,0,0,1,0,5,2,,1,1,,750,4,PORTADA DEL SOL,0,1,1,1,1,0
293,85,0,1,0,1,1,3,18,,1,1,2,850,,PORTADA DEL SOL,0,1,2,1,2,0
294,86,0,0,0,1,0,3,18,20,1,1.5,2,,3,PORTADA DEL SOL,0,1,2,1,1,0
295,87,0,0,0,1,1,5,18,15,1,1,3,700,2,PORTADA DEL SOL,1,1,3,2,3,0
296,638,0,0,0,1,0,4,15,22,1,,3,,0,GARDENIAS,0,1,3,1,3,0
297,639,1,1,0,1,1,4,19,30,1,1.5,0,500,3,GARDENIAS,0,1,2,2,3,0
298,640,0,1,0,1,1,5,13,20,1,2,1,400,,GARDENIAS,0,1,3,2,3,0
299,641,0,1,0,1,0,4,13,21,1,1.5,2,250,2,GARDENIAS,0,1,3,1,3,0
300,642,0,1,0,1,0,6,13,21,1,0,0,200,4,GARDENIAS,0,1,3,3,5,0
301,644,0,1,0,1,0,2,18,28,1,,,,,GARDENIAS,1,1,,,,
302,645,0,1,0,1,0,4,10,15,1,2,1,200,2,GARDENIAS,0,1,2,2,2,0
303,646,,1,0,1,1,4,16,17,2,2,3,400,2,GARDENIAS,0,1,3,2,3,0
304,667,0,1,0,1,0,7,14,24,1,0.7,1,950,2,EL PORUENIR,1,1,3,4,5,0
305,668,0,1,0,1,0,6,18,16,1,1.5,0,1000,2,EL PORUENIR,0,1,3,3,5,0
306,669,0,1,0,1,1,7,17,18,1,0.5,0,800,1,EL PORUENIR,0,1,4,2,5,0
307,215,0,1,0,1,1,5,10,22,1,0,1,750,4,NUEVO MILENIO,1,1,3,2,2,1
308,216,0,1,0,1,1,5,15,25,2,2,1,800,2,NUEVO MILENIO,1,1,3,2,3,0
309,217,0,1,0,1,1,4,4,16,1,0.2,1,700,1,NUEVO MILENIO,0,1,3,1,3,0
310,218,0,1,0,1,0,4,11,21,2,0.3,,800,3,NUEVO MILENIO,1,1,2,2,2,0
311,220,0,1,0,1,0,7,18,15,1,0.5,2,750,2,NUEVO MILENIO,1,1,5,2,4,0
312,221,0,1,0,1,1,5,9,23,2,0.5,5,400,2,NUEVO MILENIO,1,1,2,3,3,0
313,222,0,1,0,1,0,7,17,18,1,0.5,2,600,2,NUEVO MILENIO,1,1,4,3,5,0
314,223,0,1,0,1,0,3,7,22,1,0.5,1,400,1,NUEVO MILENIO,0,1,3,0,2,0
315,224,0,1,0,1,1,7,18,20,1,0.5,,,4,NUEVO MILENIO,1,1,4,3,5,0
316,294,0,1,0,1,1,5,18,26,1,1,1,500,5,VILLA SAN JUAN II,1,1,1,3,2,0
317,295,0,1,0,1,1,5,18,22,1,1.5,2,400,5,VILLA SAN JUAN II,0,1,2,2,3,0
318,296,0,1,0,1,1,3,18,16,2,2,1,400,1,VILLA SAN JUAN II,0,1,2,1,1,0
319,297,0,,0,1,0,6,10,28,2,1,2,700,2,VILLA SAN JUAN II,0,1,2,1,1,0
320,298,0,1,0,1,1,3,18,25,1,1,3,400,2,VILLA SAN JUAN II,0,1,1,2,2,0
321,299,0,1,0,1,1,4,17,26,2,1,2,450,0,VILLA SAN JUAN II,0,1,2,2,3,0
322,88,0,1,0,1,0,5,18,23,1,0.1,3,100,5,GIRASOLES ALTO,0,1,4,1,2,0
323,89,0,0,0,1,1,6,18,36,1,2,3,600,4,GIRASOLES ALTO,0,1,2,0,1,0
324,90,0,0,0,0,1,8,18,17,1,2,2,1000,2,GIRASOLES ALTO,1,1,4,2,4,0
325,91,0,0,0,1,0,4,12,25,1,0.5,1,600,2,GIRASOLES ALTO,1,1,2,2,2,0
326,92,0,0,0,1,0,5,10,22,1,1.5,2,500,5,GIRASOLES ALTO,1,1,2,3,3,0
327,93,0,1,0,1,0,5,1,23,1,1.5,1,700,3,GIRASOLES ALTO,1,1,3,2,2,0
328,254,0,1,0,1,0,5,18,20,2,,2,700,3,STA ROSA AUTOGESTIONARIA,1,1,2,2,2,0
329,255,0,1,0,0,0,0,8,29,1,1.5,0,450,1,STA ROSA AUTOGESTIONARIA,0,1,2,2,2,0
330,256,0,0,0,1,1,5,18,20,2,1,0,700,0,STA ROSA AUTOGESTIONARIA,0,1,2,2,3,0
331,257,0,1,0,1,1,6,18,22,1,1,4,700,1,STA ROSA AUTOGESTIONARIA,1,1,3,3,3,1
332,771,0,0,0,0,1,5,30,18,1,0.5,0,90,0,MARIA ARGUEDAS,0,1,,,,
333,773,0,1,0,1,1,5,1,19,1,1,,,,TIHUINSA,1,1,2,3,3,0
334,774,0,0,0,1,1,6,18,15,2,1,3,600,3,AMPLIACION 8B,1,1,4,2,3,0
335,653,0,1,0,1,1,5,6,27,1,1,1,1000,1,NUEVA JERUSALEN,1,1,4,1,3,0
336,654,0,1,0,0,0,4,17,18,2,1,0,800,0,NUEVA JERUSALEN,0,1,1,1,0,0
337,655,0,0,0,1,,3,17,19,1,,,850,3,NUEVA JERUSALEN,0,1,2,1,0,0
338,656,0,0,0,1,0,2,18,25,1,1,,,2,NUEVA JERUSALEN,1,1,1,2,1,0
339,657,0,1,0,1,0,5,14,20,1,0,0,0,2,NUEVA JERUSALEN,1,1,1,2,1,0
340,284,0,1,0,1,0,5,19,20,1,0.5,0,850,0,LAS TORRES,1,1,2,3,3,0
341,285,0,0,0,0,0,7,19,18,1,1.5,1,850,1,LAS TORRES,1,1,2,3,3,0
342,286,0,0,0,1,0,8,8,18,1,1,1,800,1,LAS TORRES,1,1,4,1,3,0
343,287,0,0,0,1,0,5,19,24,1,0.5,0,850,2,LAS TORRES,1,1,2,4,4,0
344,288,0,1,0,1,0,6,19,18,1,0.3,0,800,6,LAS TORRES,1,1,2,3,3,0
345,289,1,1,0,1,0,2,4,17,1,1.5,0,600,0,LAS TORRES,0,1,1,1,1,0
346,290,1,0,0,1,0,10,19,20,2,1,0,800,0,VILLA VICENCIO,1,1,3,2,3,0
347,291,1,1,0,1,0,6,4,25,1,1,0,850,2,LAS TORRES,1,1,3,2,3,0
348,292,0,0,0,1,0,4,5,20,1,0.5,0,700,3,LAS TORRES,1,1,3,1,2,0
349,293,1,0,0,1,1,7,6,18,1,1.5,0,930,4,LAS TORRES,1,1,4,2,4,0
350,624,0,1,0,1,0,6,35,20,1,0.5,0,400,6,EL NAZARENO,0,1,3,0,2,0
351,625,0,1,0,1,0,8,35,15,1,0.5,,200,8,EL NAZARENO,0,1,2,4,5,0
352,626,0,1,0,1,0,8,35,20,1,0.5,,400,8,EL NAZARENO,0,1,3,2,4,0
353,627,0,1,0,1,0,7,35,18,5,3,0,450,7,EL NAZARENO,0,1,4,2,5,0
354,628,0,1,0,1,0,3,35,20,1,0.5,,200,3,EL NAZARENO,0,1,1,2,2,0
355,629,0,1,0,1,0,13,35,18,1,1,,250,9,EL NAZARENO,0,1,4,3,6,0
356,630,0,1,0,1,0,10,35,21,1,2,,300,10,EL NAZARENO,0,1,4,2,5,0
357,320,0,0,0,1,0,4,2,34,1,2,3,750,3,LAS ROCAS,0,1,3,1,1,0
358,321,0,0,0,1,0,4,1,22,1,2,,380,1,LAS ROCAS,1,1,1,3,2,0
359,322,0,0,1,1,0,7,5,18,1,1,3,800,3,LAS ROCAS,1,1,3,3,4,0
360,323,0,0,0,1,0,2,2,3,1,2,,750,1,LAS ROCAS,0,1,1,1,1,0
361,324,0,0,0,1,0,3,5,38,1,3,4,450,3,LAS ROCAS,1,1,1,2,1,0
362,325,0,0,0,1,0,4,6,20,1,3,2,600,2,LAS ROCAS,1,1,1,3,2,0
363,326,0,0,0,1,0,6,7,19,1,2,4,800,3,LAS ROCAS,1,1,3,2,3,0
364,732,0,1,1,0,1,13,18,18,4,0.75,1,1500,3,7 DE ENERO,1,1,8,2,7,0
365,733,0,0,0,1,1,5,10,20,1,0.75,2,800,5,7 DE ENERO,1,1,3,2,3,0
366,734,1,1,0,1,1,9,18,15,2,,1,1300,4,7 DE ENERO,1,1,4,5,7,0
367,735,0,1,0,1,1,5,18,24,1,,1,900,2,7 DE ENERO,1,1,2,3,3,0
368,736,0,1,0,1,1,9,10,22,1,0.75,1,850,4,7 DE ENERO,0,1,3,3,4,0
369,46,0,0,0,1,1,3,18,20,1,1,2,850,1,VILLA SOL ALTA,0,1,2,0,1,0
370,47,0,0,0,1,1,3,18,17,1,1,0,640,2,VILLA SOL ALTA,0,1,2,0,0,1
371,48,1,0,0,1,0,6,18,21,3,2,0,1000,4,VILLA SOL ALTA,1,1,1,2,1,0
372,49,0,0,0,1,0,2,18,21,1,2,0,850,2,VILLA SOL ALTA,0,1,2,0,1,0
373,50,0,0,0,1,1,3,18,25,2,,,600,3,VILLA SOL ALTA,1,0,1,2,0,0
374,51,0,0,0,1,,1,10,,1,2,,600,1,VILLA SOL ALTA,1,0,0,1,0,0
375,52,0,0,0,1,0,7,15,14,2,1,0,1000,4,VILLA SOL ALTA,0,1,2,4,5,0
376,53,0,0,0,1,0,3,15,20,1,2,0,850,3,VILLA SOL ALTA,0,1,1,2,1,0
377,54,0,0,0,1,0,3,18,22,1,1,0,600,3,VILLA SOL ALTA,0,1,2,1,2,0
378,55,0,0,0,1,0,5,18,22,1,2,0,800,5,VILLA SOL ALTA,0,1,2,3,4,0
379,611,0,0,0,1,1,5,18,20,1,2,1,200,1,UNION SANTA FE,0,1,2,3,4,0
380,612,0,0,0,1,0,3,19,25,1,2,2,450,1,UNION SANTA FE,0,1,3,1,2,0
381,613,0,1,0,1,1,6,19,22,1,2,1,500,1,PARCELA 23A,1,1,3,3,4,0
382,614,0,1,0,1,1,6,18,,1,1,0,400,,UNION SANTA FE,1,0,1,4,4,0
383,26,0,1,0,1,1,4,9,21,1,0.3,,600,2,PARCELA 23A,0,1,3,1,2,0
384,27,0,1,0,1,1,5,8,22,1,1,,800,1,PARCELA 23A,1,1,3,2,2,1
385,28,0,1,0,1,1,5,1,28,1,0.5,,400,,PARCELA 23A,1,1,4,1,3,0
386,29,0,1,0,1,0,6,8,34,3,,,900,1,PARCELA 23A,1,1,2,4,3,0
387,30,0,1,0,0,1,10,10,22,2,,,900,8,PARCELA 23A,1,1,2,5,5,0
388,31,0,1,0,1,1,5,22,20,1,1,2,90,2,PARCELA 23A,0,1,2,1,2,0
389,264,0,0,0,0,0,3,20,18,0,,,250,2,LAS AMERICAS,1,1,1,2,1,0
390,265,0,0,0,1,0,6,20,19,1,,,500,6,LAS AMERICAS,1,1,3,2,3,0
391,266,0,0,0,0,0,2,10,18,0,,,0,,LAS AMERICAS,0,1,2,0,0,0
392,267,0,0,0,1,0,7,12,26,1,,,800,0,LAS AMERICAS,1,1,2,5,5,0
393,268,0,0,0,0,0,2,20,15,1,0.2,,400,2,LAS AMERICAS,0,1,2,0,1,0
394,269,0,0,0,0,0,2,20,18,1,,,600,,LAS AMERICAS,0,1,2,0,0,0
395,270,0,0,0,0,0,1,20,18,,,,250,,LAS AMERICAS,0,1,1,0,0,0
396,184,0,0,0,1,1,6,18,24,1,0,8,200,4,COMEDOR: CRUZ DE MOTUPE,0,1,4,0,3,0
397,185,0,0,0,1,1,4,12,20,1,0,4,180,2,COMEDOR: CRUZ DE MOTUPE,1,1,2,2,2,0
398,186,0,0,0,1,0,7,28,19,2,2,3,0,5,COMEDOR: CRUZ DE MOTUPE,1,1,3,2,2,0
399,187,0,1,0,1,1,7,22,24,1,1,3,250,5,COMEDOR: CRUZ DE MOTUPE,1,1,1,4,2,0
400,188,1,0,0,1,0,5,3,18,1,0,0,500,4,COMEDOR: CRUZ DE MOTUPE,1,1,3,2,3,0
401,137,0,1,0,1,1,6,18,22,2,1.5,,600,,SENOR DE LOS MILAGROS,1,1,5,1,3,0
402,138,0,1,0,1,0,8,6,20,3,,,750,2,SENOR DE LOS MILAGROS,1,1,2,4,4,0
403,139,0,1,0,1,1,3,18,32,1,2,,400,2,SENOR DE LOS MILAGROS,0,1,2,1,2,0
404,140,0,1,0,1,1,5,18,18,1,1.5,3,470,1,SENOR DE LOS MILAGROS,0,1,3,2,3,0
405,141,,1,0,1,0,3,18,18,2,,,,,SENOR DE LOS MILAGROS,0,1,3,0,2,0
406,142,0,1,0,1,0,5,8,,,,,,,SENOR DE LOS MILAGROS,1,1,3,2,3,0
407,104,0,0,0,1,,3,20,15,1,1.5,,250,,NUEVA GENERACION,0,1,2,2,0,0
408,105,1,1,0,1,0,6,20,18,1,0,,800,4,NUEVA GENERACION,0,1,1,2,1,0
409,106,1,1,0,1,0,5,9,15,3,0,2,700,4,NUEVA GENERACION,0,1,2,1,2,0
410,107,1,1,0,1,0,7,8,35,1,0.5,,800,1,NUEVA GENERACION,1,1,4,3,4,1
411,156,0,1,0,1,0,6,18,17,1,1,3,800,0,GIRASOLES PARTE BAJA,0,1,5,1,5,0
412,157,0,0,0,1,1,6,18,20,1,0,2,600,0,GIRASOLES PARTE BAJA,1,1,2,4,4,0
413,158,0,1,0,1,0,5,12,20,1,1,0,930,4,GIRASOLES PARTE BAJA,1,1,1,1,0,0
414,159,0,1,0,1,0,3,6,18,1,1,0,500,0,GIRASOLES PARTE BAJA,0,1,1,2,2,0
415,160,0,1,0,1,0,5,18,19,1,0,2,700,0,GIRASOLES PARTE BAJA,1,1,3,2,3,0
416,161,0,1,0,1,0,6,15,17,1,,3,850,3,GIRASOLES PARTE BAJA,1,1,3,3,3,0
417,162,0,1,0,1,0,5,15,20,0,,2,600,3,GIRASOLES PARTE BAJA,0,1,4,1,4,0
418,163,0,1,0,1,1,3,7,28,1,0.4,2,600,2,GIRASOLES PARTE BAJA,0,1,1,2,2,0
419,258,0,1,0,1,0,5,18,22,1,1,6,600,2,LAS VIOLETAS,1,1,4,1,3,0
420,259,0,1,0,1,0,5,9,16,1,0.6,6,600,0,LAS VIOLETAS,1,1,3,2,3,0
421,260,0,1,0,1,0,9,19,18,1,0.7,,800,0,LAS VIOLETAS,1,1,2,1,1,0
422,261,,1,0,1,0,9,25,10,2,2,3,1000,2,LAS VIOLETAS,1,1,2,2,2,0
423,262,0,1,0,1,0,2,13,25,1,1,7,800,0,LAS VIOLETAS,1,0,0,2,1,0
424,263,0,1,0,1,0,3,18,18,1,1,3,50,3,LAS VIOLETAS,0,1,1,0,0,0
425,760,0,0,0,1,0,5,10,18,1,1,0,850,5,EL TREBOL SANTA TERESITA NIÃŒÃ”O JESUS,1,0,4,1,4,0
426,761,0,0,0,1,1,4,11,16,1,1,0,850,4,EL TREBOL SANTA TERESITA NIÃŒÃ”O JESUS,1,0,1,3,3,0
427,762,,1,0,1,0,6,20,18,1,1,1,950,6,EL TREBOL SANTA TERESITA NIÃŒÃ”O JESUS,1,1,1,6,4,1
428,763,0,0,0,1,0,4,12,19,1,2,0,850,4,EL TREBOL SANTA TERESITA NIÃŒÃ”O JESUS,0,1,2,2,3,0
429,764,0,0,0,1,0,5,10,19,1,1,0,850,5,EL TREBOL SANTA TERESITA NIÃŒÃ”O JESUS,1,1,4,1,3,0
430,715,0,0,0,1,0,5,3,19,2,1,0,950,3,LAS MORAS ZONAC,1,1,2,3,2,0
431,716,0,0,0,1,1,5,6,19,1,0.6,0,930,3,LAS MORAS ZONAC,1,1,3,2,2,0
432,717,0,0,0,1,1,5,13,29,1,1,1,980,2,LAS MORAS ZONAC,1,1,3,2,3,0
433,718,0,1,0,1,1,6,10,23,1,1,0,800,1,LAS MORAS ZONAC,0,1,2,4,5,0
434,719,0,1,0,1,0,6,8,16,2,1,0,900,3,LAS MORAS ZONAC,0,1,2,2,3,0
435,720,0,1,0,1,1,4,2,15,1,0.4,0,500,2,LOS VENCEDORES DE LA RINCONADA,0,1,2,2,3,0
436,721,0,1,0,1,1,7,3,18,1,1.75,0,850,4,LOS VENCEDORES DE LA RINCONADA,0,1,3,3,5,0
437,722,0,1,0,1,1,7,4,26,1,1,0,850,5,LOS VENCEDORES DE LA RINCONADA,0,1,6,0,5,0
438,723,0,1,0,1,0,6,3,15,1,2,0,750,1,LOS VENCEDORES DE LA RINCONADA,1,1,4,2,4,0
439,724,0,1,0,1,1,6,5,22,1,0.5,0,480,3,LOS VENCEDORES DE LA RINCONADA,1,1,3,2,3,0
440,197,0,1,0,1,1,5,2,23,1,0.75,2,480,2,LA RINCONADA,0,1,3,3,3,2
441,198,0,1,0,1,1,5,22,19,1,1.5,3,50,2,LA RINCONADA,0,1,4,1,4,0
442,199,0,1,0,1,0,4,25,33,1,1,1,600,2,LA RINCONADA,0,1,3,2,3,1
443,200,0,1,0,1,1,6,3,26,7,1.5,2,520,2,LA RINCONADA,1,1,3,3,3,1
444,201,0,1,0,1,1,4,30,20,1,0.5,1,60,4,LA RINCONADA,0,1,2,2,2,0
445,686,1,1,0,1,0,5,35,27,2,,,,,REPUBLICA DEMOCRATICA ALEMANA,1,1,2,3,2,0
446,683,1,1,0,0,1,4,,,,,,,,REPUBLICA DEMOCRATICA ALEMANA,0,1,1,3,2,0
447,685,1,1,0,0,0,3,,,,,,,,REPUBLICA DEMOCRATICA ALEMANA,0,1,2,0,1,0
448,684,1,1,0,1,0,5,,,,,,,,JAVIER HERAU,0,1,2,2,2,0
449,674,0,0,0,1,0,5,35,32,1,,0,475,5,PAMPAS DE SAN JUAN,1,1,2,2,1,0
450,675,0,0,0,1,1,10,35,17,2,,2,900,0,PAMPAS DE SAN JUAN,1,1,3,3,4,0
451,676,0,0,0,1,0,8,25,18,2,0,8,1000,4,PAMPAS DE SAN JUAN,0,1,2,3,4,0
452,677,0,0,0,1,0,7,36,27,1,,,860,6,PAMPAS DE SAN JUAN,0,1,2,1,2,0
453,609,0,,0,1,,4,31,16,1,1,3,930,1,MANUEL SCORZA,1,1,2,1,1,0
454,608,0,,0,1,0,3,15,21,1,1,,930,1,MANUEL SCORZA,1,1,1,2,1,0
455,607,0,,0,1,0,3,30,18,1,1,,930,3,MANUEL SCORZA,0,1,3,0,1,1
456,606,0,,0,1,0,3,7,23,1,0.65,,930,2,MANUEL SCORZA,1,1,1,2,1,0
457,610,0,,0,1,,3,29,,1,2,,,2,MANUEL SCORZA,1,1,1,2,0,0
458,363,0,0,0,1,1,4,5,30,1,2,3,350,2,URANMARCA,0,1,1,3,1,0
459,364,0,0,0,1,1,8,7,18,1,2,0,500,3,URANMARCA,0,1,3,2,3,0
460,365,0,0,0,1,1,2,4,20,1,1,0,450,1,URANMARCA,0,1,2,0,1,0
461,366,0,0,0,1,1,3,3,22,1,2,2,280,2,URANMARCA,0,1,1,2,2,0
462,367,0,0,0,1,1,3,4,28,1,0.5,0,100,3,URANMARCA,0,1,2,1,0,1
463,368,0,0,0,1,1,6,10,18,1,2,0,400,0,URANMARCA,0,1,3,0,2,0
464,369,0,0,0,1,1,5,4,17,1,2,0,300,2,URANMARCA,0,1,2,3,3,0
465,384,0,1,0,1,0,7,5,,1,1,,600,5,URANMARCA,0,1,2,2,0,1
466,383,0,1,0,1,0,9,35,22,2,,0,750,1,SANTA URSULA,1,1,5,2,2,0
467,382,0,0,0,0,0,6,22,17,,,,,,SANTA URSULA,0,1,2,2,3,0
468,381,0,0,0,1,0,3,30,19,1,,,600,2,SANTA URSULA,1,1,2,2,1,0
469,380,0,0,,1,1,3,8,24,1,0.65,0,450,3,SANTA URSULA,0,1,2,0,1,0
470,616,0,,0,1,0,4,30,35,2,0.65,4,950,4,PROGRAMA MUNICIPAL DE V. UNICA,0,1,1,0,0,0
471,615,0,,0,1,0,5,18,21,1,1,,950,5,PROGRAMA MUNICIPAL DE V. UNICA,0,1,1,0,0,0
472,617,0,,0,1,,5,18,45,1,0,0,930,0,PROGRAMA MUNICIPAL DE V. UNICA,0,1,1,0,0,0
473,678,0,1,0,1,0,7,33,30,1,0.1,1,600,1,REPUBLICA DEMOCRATICA ALEMANA,1,1,3,5,4,0
474,679,0,1,0,1,0,7,20,34,1,1,,700,1,REPUBLICA DEMOCRATICA ALEMANA,0,1,4,3,4,0
475,680,0,1,0,1,0,6,7,22,1,1,0,700,1,REPUBLICA DEMOCRATICA ALEMANA,1,1,3,3,4,0
476,681,0,1,0,1,0,6,20,22,1,0.65,0,500,3,REPUBLICA DEMOCRATICA ALEMANA,1,1,4,2,3,0
477,682,0,1,0,1,0,8,30,20,1,0.1,1,500,1,REPUBLICA DEMOCRATICA ALEMANA,0,1,5,3,5,0
478,390,0,1,0,1,0,4,1,18,1,1,1,600,4,PROGRAMA MUNICIPAL DE V. UNICA,0,1,2,2,3,0
479,391,0,1,0,1,0,5,30,32,1,2,1,950,5,PROGRAMA MUNICIPAL DE V. UNICA,1,0,2,3,3,0
480,392,0,1,0,1,0,6,2,22,1,1,4,800,6,PROGRAMA MUNICIPAL DE V. UNICA,1,1,1,5,4,0
481,393,0,1,0,1,0,6,14,24,1,1,1,950,2,PROGRAMA MUNICIPAL DE V. UNICA,1,1,3,3,4,0
482,394,0,1,0,1,0,8,3,23,1,3,1,1000,5,PROGRAMA MUNICIPAL DE V. UNICA,1,0,5,2,5,0
483,395,0,1,0,1,0,6,34,20,1,2,1,600,2,PROGRAMA MUNICIPAL DE V. UNICA,0,1,2,2,3,0
484,396,0,1,0,1,0,5,7,22,1,2,1,800,2,PROGRAMA MUNICIPAL DE V. UNICA,1,1,3,2,3,0
485,346,0,1,0,1,0,6,3,16,1,0.2,0,1000,5,LOS PORTALES,1,1,3,3,3,0
486,347,0,0,0,1,0,8,15,17,3,,,1250,8,LOS PORTALES,0,1,2,1,2,0
487,348,0,1,0,1,0,4,28,21,1,1.5,0,780,0,LOS PORTALES,1,1,2,3,1,0
488,349,0,0,0,1,0,8,25,17,1,,0,,6,LOS PORTALES,0,1,4,2,3,2
489,350,0,1,0,1,0,5,30,24,1,2,0,,5,LOS PORTALES,1,1,3,2,2,0
490,351,0,1,0,0,0,3,4,20,1,1,0,850,0,LOS PORTALES,0,1,2,0,1,0
491,352,0,1,0,1,0,5,30,23,1,,0,500,5,LOS PORTALES,1,1,1,1,0,0
492,601,0,1,0,1,0,7,32,31,2,1,2,700,5,LADREAS DE VILLA,1,1,3,2,3,0
493,602,0,1,0,1,1,6,13,13,1,1,2,800,5,LADREAS DE VILLA,0,1,5,1,5,0
494,603,0,1,0,1,1,6,28,26,2,3,2,600,6,LADREAS DE VILLA,1,1,3,3,2,1
495,604,0,1,0,1,1,8,35,15,2,0.5,1,600,8,LADREAS DE VILLA,1,1,5,2,5,0
496,605,0,1,0,1,1,5,28,21,2,1,2,280,5,LADREAS DE VILLA,1,1,1,5,3,0
497,353,0,1,0,1,0,8,6,16,1,,3,,6,LAS TORRES,1,1,3,3,4,0
498,354,0,1,0,1,0,4,3,23,1,,,,1,REPUBLICA AMPLEACION ALEMANA,1,1,1,3,2,0
499,355,0,1,0,1,0,3,20,21,1,,,200,3,LAS TORRES,0,1,2,0,0,0
500,356,0,1,0,1,0,1,20,20,,,,,1,LAS TORRES,0,1,1,0,0,0
501,357,0,1,0,1,0,4,9,20,1,,1,,,MANUEL SCORZA,1,1,2,2,2,0
502,358,0,1,0,1,0,5,13,21,1,,2,,2,REPUBLICA AMPLEACION ALEMANA,1,1,3,2,3,0
503,359,0,1,0,1,0,5,20,20,1,,2,,2,REPUBLICA AMPLEACION ALEMANA,1,1,1,6,4,0
504,360,0,1,0,1,0,6,28,20,1,,1.2,,4,LAS TORRES,1,1,1,5,4,0
